Kod_powiat,Wskaznik zanieczyszczenie powietrza,Liczba pojazdów samochodowych,udział powierzchni gminnych terenów zieleni w powierzchni danej jednostki terytorialnej,Powierzchnia gruntów leśnych,Powierzchnia powiatu w hektarach,Ludnośc na 1km2,Srednie wynagrodzenie,Drogi o nawierzchni twardej w km
2805,47.4,58744,0.0,3460.21,111293,80,6016.73,236.5
2014,47.4,40489,0.0,9487.35,73310,57,6505.09,258.6
2811,47.5,29722,0.1,3756.51,96065,32,5748.08,188.0
3014,47.5,40083,0.0,2453.50,73644,49,6176.39,133.5
1422,47.57142857,57726,0.0,14995.69,121865,41,6316.92,454.0
1436,47.6,42722,0.0,6606.41,57300,60,6376.01,395.6
1601,47.66666667,85511,0.1,455.93,87603,99,6555.17,242.3
0417,47.8,34333,0.0,1180.72,50083,65,6249.49,319.5
0812,48,35459,0.1,750.80,62433,60,6247.33,92.9
2063,48,50153,1.0,89.97,6551,1046,6329.52,110.4
3210,48,66609,0.1,844.90,118234,53,6403.68,309.2
3211,48,65012,0.1,269.20,66446,128,7366.79,231.5
0617,48,69187,0.2,2894.35,46835,149,6954.42,420.4
0602,48.07142857,96136,0.0,32725.01,168101,58,5694.27,496.9
3002,48.125,89756,0.0,6403.02,180777,46,6431.04,328.4
1809,48.25,48400,0.0,12653.32,130830,40,5984.93,282.8
1202,48.28571429,82400,0.0,5770.19,59063,155,5894.20,738.4
1813,48.3,68681,0.0,8066.85,121116,59,5709.0,442.2
0606,48.4,61957,0.0,5709.56,103142,58,6131.62,378.3
2202,48.4,92187,0.1,11300.99,136421,71,6114.44,430.5
1424,48.42857143,61006,0.0,4250.35,82723,61,6240.56,472.1
1804,48.45454545,123063,0.0,3574.22,102889,113,6081.53,493.5
0221,48.5,73230,0.4,1087.60,43021,123,6099.58,231.9
1414,48.5,101653,0.0,2869.35,69479,115,8250.46,546.5
0620,48.53333333,104047,0.0,21551.46,187031,54,5642.09,765.0
1416,48.54545455,73695,0.0,12974.04,121772,57,6304.42,576.6
1802,48.66666667,54275,0.0,5913.32,53933,118,5779.73,226.1
3003,48.7,137985,0.1,1824.66,125495,113,6326.21,927.5
2603,48.8,42586,0.0,723.62,42216,76,5821.56,481.6
2608,48.8,42378,0.1,2590.76,61290,60,6467.94,282.5
0223,48.88888889,160014,0.2,746.25,111790,164,8214.48,530.6
0605,49,43845,0.0,14662.98,87530,49,6336.93,402.5
0615,49,65049,0.0,9158.84,96500,58,6233.24,476.4
1429,49,60293,0.0,17450.24,113120,45,6368.58,418.6
1801,49,24876,0.0,2987.52,113915,18,6326.11,79.5
2261,49,411286,0.6,1114.46,68300,712,8915.97,599.5
3024,49,95558,0.1,1671.35,111928,82,6930.64,418.3
1817,49.125,76464,0.0,8950.37,115642,78,6027.66,405.5
1409,49.16666667,42355,0.0,10789.84,74061,43,6451.23,433.6
1410,49.16666667,42438,0.0,9676.68,77248,37,6090.84,212.0
1406,49.3,142914,0.0,8213.67,126782,77,6985.39,744.9
0212,49.4,44660,0.1,1316.59,70969,61,6194.99,285.2
1805,49.4,105579,0.0,9057.75,83086,132,6179.28,490.3
1426,49.53846154,90257,0.0,22433.19,160348,50,6084.48,592.0
3028,49.71428571,74714,0.1,2277.85,103967,66,6130.17,486.6
0611,49.72727273,112983,0.0,15470.15,139425,73,5816.88,772.3
0601,49.73684211,126408,0.0,36155.70,275430,38,5953.72,745.4
2815,49.77777778,93104,0.1,5480.27,176658,56,6075.06,288.1
2807,49.85714286,80742,0.1,2846.63,138518,65,5813.96,401.6
1420,49.91666667,102557,0.0,9525.27,137980,61,6421.42,944.2
0209,50,52534,0.1,830.02,74401,74,6977.28,190.9
0609,50,179657,0.0,10799.22,167958,97,5868.83,1282.9
0616,50,61165,0.0,9426.99,61443,85,5946.05,400.9
1402,50,92009,0.1,8602.98,105980,81,6842.35,755.0
1435,50,73765,0.0,7737.51,87665,84,6264.25,528.7
3001,50,54225,0.0,1205.21,68507,66,6157.04,295.1
0618,50.38461538,77701,0.0,8679.11,148676,52,5859.33,529.4
0225,50.42857143,77037,0.2,642.43,83861,102,6812.01,329.0
0604,50.5,57435,0.0,2627.61,127018,45,6247.83,578.6
1807,50.5,90017,0.1,5979.37,99195,110,5553.11,443.6
1814,50.55555556,67112,0.1,4437.44,69784,109,5818.63,419.4
0411,50.57142857,46649,0.0,899.12,60722,63,6076.36,593.6
1821,50.6,29373,0.0,4597.93,83490,31,6434.16,97.3
1430,50.6,37177,0.2,4926.83,45158,84,5841.38,210.0
1423,50.625,50796,0.0,16167.60,80151,49,6436.32,321.8
3029,50.66666667,58041,0.1,2638.09,67964,83,6226.06,160.6
0612,50.71428571,69532,0.1,11303.19,81050,69,5808.93,400.3
